date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_persons_vaccinated,population,population_male,population_female,new_hospitalized_patients,cumulative_hospitalized_patients,new_confirmed_male,cumulative_confirmed_male,new_deceased_male,cumulative_deceased_male,new_hospitalized_patients_male,cumulative_hospitalized_patients_male
1/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
2/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
3/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
4/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
5/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
6/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
7/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
8/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
9/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
10/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
11/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
12/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
13/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
14/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
15/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
16/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
17/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
18/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
19/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
20/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
21/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
22/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
23/1/2020,2,0,2,0,,7496988,3439666,4057322,2,2,2,2,0,0,2,2
24/1/2020,3,0,5,0,,7496988,3439666,4057322,3,5,1,3,0,0,1,3
25/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
26/1/2020,3,0,8,0,,7496988,3439666,4057322,3,8,2,5,0,0,2,5
27/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
28/1/2020,,,,,,7496988,3439666,4057322,,,,,,,,
29/1/2020,2,0,10,0,,7496988,3439666,4057322,2,10,1,6,0,0,1,6
30/1/2020,2,0,12,0,,7496988,3439666,4057322,2,12,1,7,0,0,1,7
31/1/2020,1,1,13,1,,7496988,3439666,4057322,0,12,1,8,1,1,0,7
1/2/2020,2,0,15,1,,7496988,3439666,4057322,2,14,1,9,0,1,1,8
2/2/2020,,,,,,7496988,3439666,4057322,,,,,,,,
3/2/2020,,,,,,7496988,3439666,4057322,,,,,,,,
4/2/2020,3,0,18,1,,7496988,3439666,4057322,3,17,2,11,0,1,2,10
5/2/2020,3,0,21,1,,7496988,3439666,4057322,3,20,1,12,0,1,1,11
6/2/2020,3,0,24,1,,7496988,3439666,4057322,3,23,0,12,0,1,0,11
7/2/2020,2,0,26,1,,7496988,3439666,4057322,2,25,2,14,0,1,2,13
8/2/2020,,,,,,7496988,3439666,4057322,,,,,,,,
9/2/2020,10,0,36,1,,7496988,3439666,4057322,10,35,5,19,0,1,5,18
10/2/2020,6,0,42,1,,7496988,3439666,4057322,6,41,2,21,0,1,2,20
11/2/2020,7,0,49,1,,7496988,3439666,4057322,7,48,5,26,0,1,5,25
12/2/2020,1,0,50,1,,7496988,3439666,4057322,1,49,1,27,0,1,1,26
13/2/2020,3,0,53,1,,7496988,3439666,4057322,3,52,2,29,0,1,2,28
14/2/2020,3,1,56,2,,7496988,3439666,4057322,2,54,1,30,1,2,0,28
15/2/2020,,,,,,7496988,3439666,4057322,,,,,,,,
16/2/2020,1,0,57,2,,7496988,3439666,4057322,1,55,1,31,0,2,1,29
17/2/2020,3,0,60,2,,7496988,3439666,4057322,3,58,2,33,0,2,2,31
18/2/2020,2,0,62,2,,7496988,3439666,4057322,2,60,1,34,0,2,1,32
19/2/2020,3,0,65,2,,7496988,3439666,4057322,3,63,1,35,0,2,1,33
20/2/2020,4,0,69,2,,7496988,3439666,4057322,4,67,3,38,0,2,3,36
21/2/2020,,,,,,7496988,3439666,4057322,,,,,,,,
22/2/2020,1,0,70,2,,7496988,3439666,4057322,1,68,0,38,0,2,0,36
23/2/2020,4,0,74,2,,7496988,3439666,4057322,4,72,2,40,0,2,2,38
24/2/2020,7,0,81,2,,7496988,3439666,4057322,7,79,2,42,0,2,2,40
25/2/2020,4,0,85,2,,7496988,3439666,4057322,4,83,2,44,0,2,2,42
26/2/2020,6,1,91,3,,7496988,3439666,4057322,5,88,3,47,1,3,2,44
